addr,amount,id,lat,lng,name,notice,tel,testkit,updatedAt,max
臺北市大安區龍泉街96號,513,5901020858,25.02256,121.5292,順天堂藥局,營業時間:周一至周六9:30~22:00 禮拜日公休,(02)23627149,羅氏家用新冠病毒抗原自我檢測套組,1682506352,0
臺北市大安區通化街39巷50弄15號1樓,663,5901020876,25.03056,121.5555,大興藥局,快篩試劑販售時間自08:30至20:30;(週日休息),(02)27053369,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市大安區忠孝東路4段216巷25之1號,494,5901021248,25.03997,121.5531,永誠藥局,上午9:30發放(不發號碼牌),(02)27520273,羅氏家用新冠病毒抗原自我檢測套組,1677644192,0
臺北市大安區和平東路3段228巷11號1Ｆ,624,5901021382,25.02174,121.5543,建如藥局,營業時間  週一至週五 9:00至21:00   週六9:00至19:00   星期日休息,(02)27331456,羅氏家用新冠病毒抗原自我檢測套組,1681301822,0
臺北市大安區永康街2巷8號,427,5901023073,25.03315,121.5294,世中欣藥局,無,(02)23938947,羅氏家用新冠病毒抗原自我檢測套組,1682664752,0
臺北市大安區安和路1段102巷3號,336,5901023313,25.03433,121.5519,安和藥局,平日下午三點開始販賣賣完 78份結束,(02)27092349,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市大安區和平東路2段20號,677,5901024310,25.02566,121.5362,躍獅新生藥局,快篩發放時間0900-1800;星期一到星期日皆販售,(02)23623367,羅氏家用新冠病毒抗原自我檢測套組,1678165412,0
臺北市大安區仁愛路4段65號,644,5901024427,25.03821,121.5469,博昱仁愛藥局,實名制快篩每周一~五，上午9點開賣.售完為止.婉謝零錢,(02)87739258,羅氏家用新冠病毒抗原自我檢測套組,1681976552,0
臺北市大安區和平東路2段311巷11號,455,5901024669,25.02514,121.5452,百岳藥局,快篩試劑販售時間:周一至周五10:30~12:00止,(02)27551037,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市大安區樂業街162號,524,5901024767,25.01958,121.5535,杏一樂業藥局,無,(02)27383194,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市大安區忠孝東路4段216巷21號,765,5901024918,25.04025,121.5531,康祥藥局,週日早上11:00到晚上7:00,(02)27817891,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市大安區敦化南路2段63巷46號,456,5901024954,25.03089,121.5512,佑全大安敦南藥局,無,(02)23257579,羅氏家用新冠病毒抗原自我檢測套組,1677239552,0
臺北市大安區建國南路2段151巷42號1樓,446,5901025004,25.02865,121.5396,早安藥局,無,(02)27002209,羅氏家用新冠病毒抗原自我檢測套組,1678895552,0
臺北市大同區重慶北路3段335巷6號,966,5901090154,25.07452,121.5144,柯藥局,库存已零如何歸零,(02)25948515,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市大同區延平北路2段229號,510,5901091544,25.06029,121.5115,得意藥師藥局,無,(02)25534294,羅氏家用新冠病毒抗原自我檢測套組,1677296642,0
臺北市大同區涼州街4號,507,5901091884,25.06078,121.5147,躍獅雙蓮藥局,實名制快篩:週一~五 下午3:00開賣 (週六停售),(02)25537551,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市大同區民生西路108號(實際營業:一層),624,5901092087,25.0574,121.5197,躍獅文昌藥局,無,(02)25586189,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市中山區林森北路159巷6號,460,5901100155,25.0517,121.5255,大信藥局,無,(02)25719080,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市中山區錦州街266號,449,5901100342,25.06025,121.5348,順泰藥局,無,(02)25038916,羅氏家用新冠病毒抗原自我檢測套組,1677298592,0
臺北市中山區錦州街207號,492,5901100628,25.06039,121.532,貢玄藥局,中午12點30分開始發號碼牌.下午1點領快篩.,(02)25637847,羅氏家用新冠病毒抗原自我檢測套組,1677479972,0
臺北市中山區北安路595巷2弄6號,559,5901101509,25.08192,121.5483,永直藥局,無,(02)85098059,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市中山區長春路146－1號,517,5901101536,25.05473,121.5317,展佑藥局,無,(02)25232803,羅氏家用新冠病毒抗原自我檢測套組,1682575412,0
臺北市中山區吉林路255號1樓,636,5901101992,25.06165,121.5304,大愛藥師藥局,無,(02)25424723,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市中山區錦州街282號,530,5901102444,25.06024,121.5352,啟美藥師藥局,無,(02)25178032,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市中山區長安東路2段167－1號,621,5901102631,25.04843,121.5407,金生藥局,營業時間為週一~週五 09:00~21:00     週六09:00~14:00,(02)87729808,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市中山區北安路608巷5弄22號,393,5901102686,25.08263,121.5496,富宥康藥局,無,(02)25325277,羅氏家用新冠病毒抗原自我檢測套組,1679500352,0
臺北市中山區北安路591號,531,5901103110,25.08194,121.5486,大直健康藥局,販售時間:W1-W7:09:00-21:00,(02)25323310,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市中山區龍江路385之1號,568,5901103227,25.06511,121.541,建誠中西藥局,實名制快篩發放時間 週一至週五10:00-20:00 週六 10:00-14:00,(02)25158608,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市中山區北安路567之2號,398,5901103405,25.08073,121.5482,大直永安藥局,春節休22 23 24 休假,(02)25332125,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市中山區長春路147之1號,709,5901103558,25.05495,121.5323,佳頤中西藥局,平日09:00-22:00，例假日11:00-20:00,(02)25641479,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市中山區吉林路189號,436,5901103665,25.0597,121.5304,安悅藥局,實名制快篩販售時間:早上11點~售完為止，不發號碼牌僅現場排隊(每周日不販售),(02)25419879,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市中山區吉林路399號1樓,686,5901103727,25.06587,121.5305,盛康藥局,國定假日仍執行調劑業務,(02)25969580,羅氏家用新冠病毒抗原自我檢測套組,1682437952,0
臺北市中山區龍江路279號1樓,499,5901103736,25.05973,121.5408,杏一龍錦藥局,快篩提供時段週一到週六 9:00-21:00 週日不提供發放!!! 不發號碼牌 售完為止＞＜,(02)25174618,羅氏家用新冠病毒抗原自我檢測套組,1656950162,0
臺北市中山區樂群二路210之2號1樓,544,5901103754,25.07952,121.5593,永育康暉藥局,4/1、4/5只有上午看診，4/2診所休診，4/3全天皆有看診，4/4只有上午、晚上看診,(02)85012227,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市內湖區內湖路3段135號1樓,495,5901110133,25.08685,121.5899,泰成藥局,口罩販售:上午9:00開始發號碼牌，9點同步販售.,(02)27921231,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市內湖區康樂街72巷17弄4號1Ｆ,486,5901110268,25.06976,121.6178,赫得藥局,每周日公休,(02)26328642,羅氏家用新冠病毒抗原自我檢測套組,1680191552,0
臺北市內湖區康樂街80號,489,5901112593,25.07015,121.6189,康健藥局,4/1、4/3、4/4全天皆有看診，4/2、4/5只有上午看診,(02)26305825,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市內湖區成功路4段61巷26號,738,5901112824,25.08121,121.5932,思恩藥局,快篩販售時間:禮拜一~五 14:00~17:00,(02)27965808,羅氏家用新冠病毒抗原自我檢測套組,1681401152,0
臺北市內湖區內湖路2段333號,570,5901113018,25.08319,121.5917,桔子藥局,無,(02)27930052,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市內湖區金龍路135號,599,5901113027,25.08593,121.5902,晟安藥局,快篩一~六下午14:00開始販售,(02)87919320,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市內湖區文德路105號,756,5901113367,25.0787,121.5837,瑞暉藥局,營業時間: 09:00~22:00,(02)26276828,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市內湖區內湖路1段401之1號,493,5901113401,25.08188,121.5706,躍獅麗湖藥局,實名制快篩直接入內購買,(02)26276160,羅氏家用新冠病毒抗原自我檢測套組,1678686152,0
臺北市內湖區康樂街150號,516,5901113563,25.07263,121.6192,耀元藥局,無,(02)26337369,羅氏家用新冠病毒抗原自我檢測套組,1678895552,0
臺北市內湖區星雲街24號1樓,440,5901113652,25.07804,121.5908,加一藥師藥局,無,(02)87912653,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市內湖區內湖路1段737巷50弄5號1樓,463,5901113741,25.08058,121.5788,原大藥局,9:00開賣快篩，不發號碼牌，現場售完為止;,(02)26596358,羅氏家用新冠病毒抗原自我檢測套組,1657813322,0
臺北市南港區南港路2段26號,419,5901120308,25.05425,121.6054,加欣藥局,星期日公休 每日上午9:00營業 晚間8:00休息,(02)27836222,羅氏家用新冠病毒抗原自我檢測套組,1677302132,0
臺北市南港區中坡南路25號,3977,5901121421,25.04329,121.5832,祥安藥局,無,(02)26547322,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市南港區研究院路1段19號1樓,455,5901121583,25.05401,121.6166,健園藥局,早上8點開賣 (政府有配送的狀況下) 沒發放號碼牌售完為止,(02)27851567,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市南港區研究院路2段80號,642,5901121725,25.0454,121.6152,佳龍藥局,無,(02)27885951,羅氏家用新冠病毒抗原自我檢測套組,1681343552,0
臺北市南港區興華路75號,632,5901121841,25.05517,121.6061,泓安藥局,星期一至星期日早上10:00開賣快篩試劑,(02)27861083,羅氏家用新冠病毒抗原自我檢測套組,1670236052,0
臺北市南港區舊莊街1段147號,546,5901121850,25.03985,121.6205,健涵藥局,無,(02)27837285,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市南港區南港路一段166號,530,5901121869,25.05536,121.6119,南港藥局,無,(02)27829137,羅氏家用新冠病毒抗原自我檢測套組,1678354442,0
臺北市南港區成福路23號,510,5901121912,25.04473,121.5867,成恩藥局,快篩販賣時間:平日 周一到周五 下午3:00~5:00，現場排隊不發放號碼牌,(02)27856602,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市南港區舊莊街1段165號,519,5901121985,25.03949,121.6211,勝安藥局,星期天下午3點半營業,(02)27828450,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市南港區成福路8號,487,5901122080,25.04578,121.5859,成福大藥局,無,(02)27859221,羅氏家用新冠病毒抗原自我檢測套組,1654616374,0
臺北市士林區美崙街19號1樓,460,5901150011,25.09715,121.5233,南風藥局,無,(02)28320375,羅氏家用新冠病毒抗原自我檢測套組,1680467012,0
臺北市士林區大南路412號,510,5901150146,25.08996,121.5162,坤成泰藥局,實名制快篩販賣時間 9.30~12.00   14.00~18.00  賣完為止,(02)28813903,羅氏家用新冠病毒抗原自我檢測套組,1680191552,0
臺北市士林區華榮街16號,348,5901150397,25.09549,121.5236,博惠藥局,實名制快篩 ，週一至週日,(02)28320379,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市士林區劍潭路91號,485,5901150593,25.08285,121.5199,安寧藥局,領藥星期1.3.5為 9:00~12:00.及16:00~20:00*星期2.4.6.--上午,(02)28803319,羅氏家用新冠病毒抗原自我檢測套組,1667545502,0
臺北市士林區承德路4段40巷17號1Ｆ,496,5901152079,25.08107,121.522,資生堂藥局,無,(02)28857588,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市士林區文林路140號,519,5901152471,25.08878,121.5267,得安藥局,星期一三五六下午3:30  星期二 四日下午5:00,(02)28836336,羅氏家用新冠病毒抗原自我檢測套組,1681314752,0
臺北市士林區社子街13號1樓,603,5901152640,25.08769,121.5083,仁大藥局,週一至週六上午可領取快篩，週日公休;,(02)88113793,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市士林區後港街45巷1號1樓,646,5901152659,25.08444,121.5228,和樹藥局,週日公休，周一早上9:30,(02)28821188,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市士林區大東路86－4號,202,5901153245,25.09131,121.5257,大東健保藥局,無配發兒童免費快篩 實名制快篩販售現場門口公告為主   請勿來電占線詢問,(02)28834672,羅氏家用新冠病毒抗原自我檢測套組,1655868094,0
臺北市士林區承德路4段222之1號,473,5901153674,25.0885,121.5215,愛佳藥局,無,(02)28811199,羅氏家用新冠病毒抗原自我檢測套組,1676021612,0
臺北市士林區前港街28號,655,5901153727,25.0846,121.522,前港盛康藥局,實名制快篩，早上9:00開始販售,(02)28831079,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市士林區福華路154號(實際使用:1樓),393,5901153905,25.10357,121.5227,躍獅芝山藥局,無,(02)28365822,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市士林區德行東路217號1樓,388,5901154028,25.10935,121.5328,向宇藥局,無,(02)88661101,羅氏家用新冠病毒抗原自我檢測套組,1664776052,0
臺北市士林區天母東路8巷84號1樓,1622,5901154055,25.11483,121.5304,天母盛康藥局,無,(02)28720208,羅氏家用新冠病毒抗原自我檢測套組,1666279322,0
臺北市士林區中山北路7段162號1樓,1040,5901154073,25.12416,121.5327,中山盛康藥局,無,(02)28771887,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市士林區中山北路7段14巷26號1樓,547,5901154108,25.11884,121.5328,藥本家藥局,周一 ~ 五 13:00~20:00 視人潮發放號碼牌,(02)28766682,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市北投區裕民二路20號,497,5901160142,25.11604,121.517,德昇藥局,週一至週六 實名制快篩現場發售 不刷卡不開統編  請自備500元,(02)28217565,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市北投區中和街327號1樓,600,5901162306,25.14097,121.4997,上頤藥局,快篩販售時間:星期一~六 下午2點開賣，星期日停售,(02)28981230,羅氏家用新冠病毒抗原自我檢測套組,1659368763,0
臺北市北投區光明路182號,1038,5901162806,25.13566,121.5033,大家藥局,無,(02)28959000,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市北投區清江路68號,626,5901162879,25.13044,121.5017,杏嘉藥局,無,(02)28942585,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市北投區東陽街403號1樓,441,5901163107,25.11244,121.5176,小豬藥局,無,(02)28217099,羅氏家用新冠病毒抗原自我檢測套組,1677365552,0
臺北市北投區知行路305號(實際使用1樓),448,5901163330,25.12214,121.4672,萬信藥局,無,(02)28583083,羅氏家用新冠病毒抗原自我檢測套組,1681037552,0
臺北市北投區吉利街146號,473,5901163438,25.11854,121.508,漢藥局,快篩實名制領取時間:周一至周六下午2點現場排隊,(02)28236598,羅氏家用新冠病毒抗原自我檢測套組,1676348942,0
臺北市北投區石牌路2段171號(實際使用:1樓),494,5901163536,25.11848,121.518,天富大藥局,週一至週六下午2-3點直接販售;週日暫停販售,(02)28225812,羅氏家用新冠病毒抗原自我檢測套組,1679382902,0
臺北市北投區明德路157－4號(實際使用:1樓),739,5901163554,25.11129,121.5209,良哲藥局,實名制快篩販售時間:早上 9:00~9:30/下午 2:30~3:00(週六人力不足不販售/週日休息),(02)28285516,羅氏家用新冠病毒抗原自我檢測套組,1655913302,0
臺北市北投區光明路51號、53號(實際使用:1樓),819,5901163563,25.13286,121.4998,躍獅光明藥局,無,(02)28915993,羅氏家用新冠病毒抗原自我檢測套組,1682759012,0
臺北市北投區光明路2巷13－2號(實際使用:1樓),491,5901163581,25.13132,121.4997,陳藥師藥局,無,(02)28921971,羅氏家用新冠病毒抗原自我檢測套組,1679376272,0
臺北市北投區致遠一路2段105號1樓,480,5901163634,25.1131,121.5128,心樂藥局,您好;發放快篩時間:周一二三五六早上8:30-12:00，周一二三五 下午4:00-7:00，周日及國定假日休息,(02)28210261,羅氏家用新冠病毒抗原自我檢測套組,1678895552,0
臺北市信義區吳興街281巷3號1樓,654,5901170139,25.02656,121.5643,福華藥局,下午1:00配合政府發售快篩試劑,(02)27208527,羅氏家用新冠病毒抗原自我檢測套組,1662625142,0
臺北市信義區大道路61號,524,5901170184,25.04136,121.5823,臺陽藥局,快篩試劑早上9:30現場販售，週日沒有販售,(02)27283403,羅氏家用新冠病毒抗原自我檢測套組,1679500352,0
臺北市信義區大道路135號,458,5901170915,25.03901,121.5834,杏仁藥局,實名制快篩:週一至週五下午3點販售，週六週日無販售,(02)27262541,羅氏家用新冠病毒抗原自我檢測套組,1681113842,0
臺北市信義區莊敬路414號,560,5901172508,25.02716,121.5662,好康藥局,實名制快篩販售時間只有下午1:30~4:00其餘時間不販售,(02)27232979,羅氏家用新冠病毒抗原自我檢測套組,1654602514,0
臺北市信義區福德街217號,707,5901172544,25.03841,121.5847,麗中藥局,無,(02)27594416,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市信義區福德街306號1樓,771,5901172651,25.03931,121.5874,康杏藥局,無,(02)27591510,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市信義區吳興街241號,504,5901172697,25.02745,121.5635,綠杏大藥局,無,(02)27582378,羅氏家用新冠病毒抗原自我檢測套組,1677215012,0
臺北市信義區永吉路326巷2號1樓,612,5901172704,25.04507,121.5754,鴻濟藥局,快篩販售時間:周一至周五: 15:00開始;週六.周日:視實際到貨情形請見門口公告,(02)27645331,羅氏家用新冠病毒抗原自我檢測套組,1680781952,0
臺北市信義區莊敬路236號,624,5901172740,25.0296,121.5621,信桉藥局,快篩販售 W1-5 8:30-21:00，W6 9:30-16:00,(02)87860005,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市信義區光復南路419巷19號,581,5901172964,25.03659,121.5582,榮泰藥局,無,(02)77296777,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市信義區吳興街225巷6號,594,5901173238,25.02782,121.5634,正和藥局,無,(02)23455186,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市信義區忠孝東路5段423巷1號,796,5901173372,25.04126,121.5753,新永春藥局,無,(02)27667385,羅氏家用新冠病毒抗原自我檢測套組,1678348352,0
臺北市信義區吳興街467巷2弄12號,566,5901173407,25.02381,121.5695,康怡健保藥局,4/1、4/3、4/4全天皆有看診，4/2、4/5只有上午看診,(02)27206193,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
